Question,ChoiceA,ChoiceB,ChoiceC,ChoiceD,Correct,Explanation,Tags,Source,Batch
"A mission-critical SQL database requires guaranteed 99.99% SLA with protection from zone and region failures. What redundancy is essential?","LRS (local, single zone)","ZRS (zone-redundant, single region)","GRS (geo-redundant, no read access)","GZRS (zone + geo-redundant)","D","GOLDEN RULE: For Tier-0 workloads demanding both zone-level and region-level resilience, GZRS is mandatory. It synchronously replicates across 3 AZs in primary region (zero RTO for zone outage) and asynchronously to secondary region (RPO ~15 min); RA-GZRS adds secondary read endpoint for DR testing and read offloading.","Storage,Redundancy,High Availability,Golden Rule Enriched","MS Learn - Storage Redundancy","Golden Rule Enriched Part 2"
"An IoT telemetry archive stores 50 TB annually with quarterly compliance audits. Which disk type balances cost and audit-query performance?","Ultra Disk (sub-ms latency, highest cost)","Premium SSD (production workloads)","Standard SSD (balanced cost-performance)","Standard HDD (lowest cost, higher latency)","C","Standard SSD offers 500-6000 IOPS and single-digit ms latency at ~$0.05/GB/month, suitable for infrequent-but-time-sensitive queries on large datasets. Standard HDD risks query timeouts during audits (~60-100 IOPS); Premium SSD wastes budget for quarterly access; lifecycle policies can tier blob backups to Cool/Archive between audits.","Compute,Disks,Cost Optimization,Golden Rule Enriched","MS Learn - Disk Types","Golden Rule Enriched Part 2"
"A containerized microservice requires persistent storage with 20,000+ IOPS and integration with Azure Kubernetes Service. Which disk?","Standard HDD (general-purpose)","Standard SSD (balanced)","Premium SSD (high-performance persistent)","Ultra Disk (extreme IOPS, sub-ms)","C","Premium SSD managed disks attach to AKS nodes as PersistentVolumes (StorageClass: managed-premium) with up to 20,000 IOPS and 900 MB/s throughput. Ensure VM sizes support Premium (s-series, Dsv3, Esv3+); use Azure Disk CSI driver for dynamic provisioning; snapshot-based backup integrates with Velero for cluster-level DR.","Compute,Disks,AKS,Golden Rule Enriched","MS Learn - AKS Storage","Golden Rule Enriched Part 2"
"The decision framework for selecting Azure managed disk types is:","Always use Ultra Disk for maximum performance","Match disk type to workload's IOPS, throughput, latency, and cost requirements","Choose Standard HDD to minimize infrastructure costs","Select Premium SSD for all production workloads by default","B","GOLDEN RULE: Right-size disk SKU to application needs—Ultra for latency-critical (SAP HANA, Cassandra), Premium SSD for production databases/file servers, Standard SSD for dev/test or moderate workloads, Standard HDD for backup targets. Monitor 'Disk IOPS Consumed %' and 'Disk Bandwidth Consumed %' metrics; throttling at 100% indicates undersizing.","Compute,Disks,Best Practice,Golden Rule Enriched","MS Learn - Disk Types","Golden Rule Enriched Part 2"
"A production e-commerce site needs 10 deployment slots, autoscale to 30 instances, and VNet integration. Minimum App Service plan?","Basic (limited scale, no slots)","Standard (5 slots, manual scale)","Premium (20 slots, autoscale, VNet)","Isolated (ASE, private network)","C","Premium tier provides up to 20 slots, 30 instances with autoscale rules, zone redundancy, and VNet integration for private backend connectivity. Basic supports 3 instances max and no slots; Standard offers 5 slots and 10 instances but no autoscale; use Premium for enterprise staging/blue-green workflows and zero-downtime releases.","App Service,Plans,Scaling,Golden Rule Enriched","MS Learn - App Service Plans","Golden Rule Enriched Part 2"
"A healthcare app must run in a dedicated environment with private network isolation per compliance requirements. Which tier?","Basic (shared compute)","Standard (shared infrastructure)","Premium (multi-tenant with VNet integration)","Isolated (App Service Environment, single-tenant)","D","Isolated tier deploys a full App Service Environment (ASE) into your VNet with dedicated Front Ends and Workers, eliminating noisy neighbor risks. It supports up to 100 instances, private endpoint access, and network security groups; costs ~$1000/month base plus compute; required for PCI-DSS, HIPAA, or government FedRAMP workloads needing network-level isolation.","App Service,Plans,Security,Compliance,Golden Rule Enriched","MS Learn - ASE","Golden Rule Enriched Part 2"
"The core rule for App Service plan tier selection is:","Always choose Isolated for maximum security","Select the lowest tier to control monthly costs","Match tier to required features (slots, scale, VNet) and performance (CPU/RAM) needs","Use Premium for all production apps by default","C","GOLDEN RULE: Map plan tier to feature requirements first (slot count, autoscale, custom domains, zone redundancy), then validate CPU/memory against load test results. Free/Shared for dev/test only; Basic for simple production without slots; Standard for multi-slot deployments; Premium for autoscale/VNet; Isolated for regulatory compliance; overpaying for unused features or undersizing causes throttling/outages.","App Service,Plans,Best Practice,Golden Rule Enriched","MS Learn - App Service Plans","Golden Rule Enriched Part 2"
"A CI/CD pipeline must copy 10 TB of build artifacts between storage accounts across subscriptions without embedding credentials. Best auth method for AzCopy?","Shared Key (full account access)","SAS token with 1-year expiry hardcoded in scripts","Azure AD (Entra ID) with user-assigned Managed Identity and RBAC","Connection string in plaintext config file","C","Azure AD auth with user-assigned managed identity eliminates secret rotation and scopes permissions via RBAC (Storage Blob Data Contributor). Assign identity to VM/AKS/container instance running AzCopy; avoid shared keys (full account access risk) and long-lived SAS tokens (rotation burden); use '--login' flag or AZURE_CLIENT_ID environment variable for non-interactive auth.","Storage,AzCopy,Security,Automation,Golden Rule Enriched","MS Learn - AzCopy Authorization","Golden Rule Enriched Part 2"
"GOLDEN RULE for AzCopy authorization in production automation is:","Use Shared Key for simplicity and maximum compatibility","Hardcode SAS tokens with long expiry to avoid rotation","Leverage Azure AD with managed identity and RBAC for credential-free access","Store connection strings in environment variables","C","GOLDEN RULE: Managed identity + Azure AD RBAC is the secure default for automation (Azure Pipelines, Functions, AKS jobs) because it avoids secret storage, integrates with Azure Policy, and supports conditional access. Grant least-privilege roles (Storage Blob Data Reader/Contributor); validate permissions with '--dry-run'; rotate identity credentials via Azure, not code changes.","Storage,AzCopy,Best Practice,Security,Golden Rule Enriched","MS Learn - AzCopy Best Practices","Golden Rule Enriched Part 2"
"A branch office needs site-to-site VPN to Azure with basic routing and minimal cost for a 50 Mbps connection. Which gateway SKU?","Basic (legacy, limited features)","VpnGw1 (modern entry-level, BGP support)","VpnGw3 (high throughput, 1.25 Gbps)","ExpressRoute (dedicated circuit, premium cost)","B","VpnGw1 is the modern entry SKU with BGP support, 650 Mbps throughput, and P2S+S2S concurrency for ~$140/month. Basic SKU is deprecated (no BGP, no resize, no zone redundancy); avoid for new deployments. VpnGw3 fits high-bandwidth (1.25 Gbps) scenarios; ExpressRoute requires dedicated circuit provisioning and ~$500+/month for private, low-latency connectivity.","Networking,VPN Gateway,Cost,Golden Rule Enriched","MS Learn - VPN Gateway SKUs","Golden Rule Enriched Part 2"
"The critical decision factor when selecting a VPN Gateway SKU is:","Always use Basic to minimize monthly costs","Match throughput and feature requirements (BGP, zone redundancy, P2S scale) to workload needs","Choose the highest SKU for future-proofing","Select VpnGw1 by default for all scenarios","B","GOLDEN RULE: Size VPN Gateway based on aggregate throughput needs (all tunnels combined), BGP requirement for dynamic routing, and zone-redundancy SLA goals. Basic lacks BGP and zone support (avoid for production); VpnGw1/AZ for general use; VpnGw2/3/AZ for high bandwidth or >30 P2S clients; monitor 'Tunnel Bandwidth' and 'Tunnel Packet Drop' metrics to validate sizing.","Networking,VPN Gateway,Best Practice,Golden Rule Enriched","MS Learn - VPN Gateway Planning","Golden Rule Enriched Part 2"
