Question,ChoiceA,ChoiceB,ChoiceC,ChoiceD,Correct,Explanation,Tags,Source,Batch
Which Azure Disk provides highest performance for latency-sensitive workloads?,Standard HDD,Standard SSD,Premium SSD,Ultra Disk,D,"Ultra Disk delivers highest performance with up to 160,000 IOPS, 2,000 MB/s throughput, and sub-millisecond latency for mission-critical workloads like SAP HANA. Premium SSD caps at 20,000 IOPS making Ultra Disk the only choice for extreme low-latency requirements.","Storage,Disks,Performance,Ultra Disk,Golden Rule",Microsoft Learn - Disk Types,Golden Rule Part 2
Best practice when choosing disks:,Always Standard HDD,Match performance to workload,Ignore VM size,Use cheapest option,B,"GOLDEN RULE: Match disk type to workload performance requirements considering IOPS, throughput, and latency needs. VM size determines max IOPS/throughput caps - even Ultra Disk won't exceed VM limits, so both disk and VM must align with workload requirements.","Storage,Disks,Best Practice,Golden Rule",Microsoft Learn - Disk Types,Golden Rule Part 2
Which plan tier offers autoscaling and high availability?,Free,Basic,Standard,Premium,D,"Premium tier (P1v3, P2v3, P3v3) includes autoscaling, deployment slots, 99.95% SLA, and higher memory/CPU allocations. Standard tier has some features but Premium offers advanced auto-scale rules, staging slots for zero-downtime deployments, and better performance guarantees.","App Service,Plans,Scaling,Golden Rule",Microsoft Learn - App Service Plans,Golden Rule Part 2
Best practice for production workloads:,Use Free tier,Use Premium tier,Ignore scaling,Use Basic tier,B,"GOLDEN RULE: Use Premium tier for production workloads requiring high availability, autoscaling, and zero-downtime deployments via slots. Free/Basic tiers lack critical production features like SLA guarantees, deployment slots, and auto-scale capabilities needed for enterprise applications.","App Service,Plans,Production,Best Practice,Golden Rule",Microsoft Learn - App Service Plans,Golden Rule Part 2
Which is recommended for authorizing AzCopy for secure transfers?,SAS Token,Azure AD (Entra ID),FTP,Shared Key,B,Azure AD (Microsoft Entra ID) authentication provides identity-based access with RBAC support and eliminates need to embed credentials in scripts. SAS tokens work but require manual rotation and management; Shared Key exposes the storage account key creating security risks.,"AzCopy,Security,Authentication,Golden Rule",Microsoft Learn - AzCopy Authorization,Golden Rule Part 2
"Golden Rule: For secure data migration, always:",Use anonymous access,Use Azure AD or SAS,Disable encryption,Use FTP,B,"GOLDEN RULE: Always use secure authorization (Azure AD preferred, SAS token acceptable) for data migration with AzCopy. Never use anonymous access, FTP without TLS, or disable encryption - Azure Storage enforces HTTPS by default to protect data in transit.","AzCopy,Security,Best Practice,Golden Rule",Microsoft Learn - AzCopy Security,Golden Rule Part 2
Which connection type allows site-to-site VPN?,Point-to-Site,Site-to-Site,VNet-to-VNet,ExpressRoute,B,Site-to-Site (S2S) VPN creates an IPsec/IKE tunnel between on-premises VPN devices and Azure VPN Gateway enabling entire network connectivity. Requires on-premises VPN device with public IP address and BGP support for dynamic routing scenarios.,"Networking,VPN Gateway,Site-to-Site,Golden Rule",Microsoft Learn - VPN Gateway,Golden Rule Part 2
Which connection is used for connecting individual clients securely?,Point-to-Site,Site-to-Site,VNet-to-VNet,ExpressRoute,A,"Point-to-Site (P2S) VPN allows individual client computers to connect to Azure VNet from remote locations using VPN client software. Supports IKEv2, OpenVPN, and SSTP protocols with certificate or Azure AD authentication - ideal for remote workers.","Networking,VPN Gateway,Point-to-Site,Golden Rule",Microsoft Learn - VPN Gateway,Golden Rule Part 2
Which load balancer type distributes traffic inside a VNet?,Public,Internal,Global,Standard,B,"Internal (Private) Load Balancer uses private IP addresses to distribute traffic between resources within a VNet or connected on-premises networks. Public Load Balancer has public IP for internet-facing applications (Standard/Basic are SKUs, not load balancer types).","Networking,Load Balancer,Internal,Golden Rule",Microsoft Learn - Load Balancer,Golden Rule Part 2
Golden Rule: Always match load balancer type with:,Traffic source,Random choice,VM size,Storage account,A,"GOLDEN RULE: Match load balancer type to traffic source - Public Load Balancer for internet traffic, Internal Load Balancer for VNet/on-premises traffic. Mismatched configuration prevents traffic routing (e.g., internal LB can't receive internet traffic even with NSG rules allowing it).","Networking,Load Balancer,Best Practice,Golden Rule",Microsoft Learn - Load Balancer,Golden Rule Part 2
